Name,Team,Pos,"Fantasy Team",\xa0,"Fan Pts",Pre-Season',Current,"% Owned",H/AB*,1B,2B,3B,HR,SB,CS,BB,K,PO,A,E
"Mike Trout",LAA,OF,FA,2381.10,1,11,99%,'172/575',93,32,6,41,11,7,92,158,428,7,0
"Paul Goldschmidt",Ari,1B,FA,2595.10,2,6,99%,'182/567',109,38,2,33,21,5,118,151,1378,122,5
"Bryce Harper",Was,OF,FA,2563.25,3,4,99%,'172/521',91,38,1,42,6,4,124,131,297,9,7
"Josh Donaldson",Tor,3B,FA,2342.05,5,5,99%,'184/620',100,41,2,41,6,0,73,133,137,287,18
"Miguel Cabrera",Det,1B,FA,1872.25,6,75,99%,'145/429',98,28,1,18,1,1,77,82,903,76,4
"Manny Machado",Bal,"3B,SS",FA,2190.50,7,13,99%,'181/633',115,30,1,35,20,8,70,111,136,352,21
"Nolan Arenado",Col,3B,"JP's Logrono Rockies",2086.25,8,10,99%,'177/616',88,43,4,42,2,5,34,110,105,385,17
"Andrew McCutchen",Pit,OF,FA,2176.25,9,31,99%,'165/566',103,36,3,23,11,5,98,133,301,7,2
"Giancarlo Stanton",Mia,OF,"Las Taras de Doug",1037.55,10,189,99%,'74/279',34,12,1,27,4,2,34,95,149,6,3
"Carlos Correa",Hou,SS,FA,1326.60,11,122,99%,'108/387',63,22,1,22,14,4,40,78,112,265,13
"Anthony Rizzo",ChC,1B,"Los Grandes",2198.60,12,23,99%,'163/586',91,38,3,31,17,6,78,105,1330,126,9
"Jose Altuve",Hou,2B,"Cydonia Knights BBC",2102.05,13,19,99%,'200/638',141,40,4,15,38,13,33,67,247,417,5
"Kris Bryant",ChC,"3B,OF",FA,1873.25,14,37,99%,'154/559',92,31,5,26,13,4,77,199,103,251,17
"Jose Bautista",Tor,OF,FA,2205.60,15,20,99%,'136/543',64,29,3,40,8,2,110,106,224,4,3
"A.J. Pollock",Ari,OF,OGM_Gansa,2206.35,16,7,99%,'192/609',127,39,6,20,39,7,53,89,347,5,3
"Edwin Encarnacion",Tor,1B,FA,2077.00,18,26,99%,'146/528',76,31,0,39,3,2,77,98,466,32,3
"Jose Abreu",CWS,1B,FA,1985.10,19,34,99%,'178/613',111,34,3,30,0,0,39,140,952,60,11
"Mookie Betts",Bos,OF,FA,1988.90,20,36,99%,'174/597',106,42,8,18,21,6,46,82,358,10,5
"Dee Gordon",Mia,2B,FA,1923.05,21,12,99%,'205/615',169,24,8,4,58,20,25,91,293,434,6
"Buster Posey",SF,"C,1B",FA,2064.85,22,42,99%,'177/557',130,28,0,19,2,0,56,52,1105,86,2
"Joey Votto",Cin,1B,FA,2575.00,25,25,99%,'171/545',107,33,2,29,11,3,143,135,1212,139,9
"Charlie Blackmon",Col,OF,FA,1949.25,26,28,99%,'176/614',119,31,9,17,43,13,46,112,327,9,3
"Starling Marte",Pit,OF,FA,1705.85,29,30,99%,'166/579',115,30,2,19,30,10,27,123,205,16,2
"Chris Davis",Bal,"1B,OF",FA,2147.05,30,18,99%,'150/573',72,31,0,47,2,3,84,208,921,55,3
"George Springer",Hou,OF,FA,1309.55,34,202,99%,'107/388',70,19,2,16,16,4,50,109,189,6,3
